case,activity,timestamp
Case 496,Process Creation,2010/09/21 09:00:13.000
Case 12186,Process Creation,2010/09/21 09:00:21.000
Case 496,EngSupplierDesign Lead,2010/09/21 09:00:56.000
Case 12186,EngSupplierDesign Lead,2010/09/21 10:00:00.000
Case 6314,Process Creation,2010/09/21 10:00:03.000
Case 13112,Process Creation,2010/09/21 10:00:59.000
Case 4395,Process Creation,2010/09/21 11:00:41.000
Case 18078,Process Creation,2010/09/21 12:00:15.000
Case 11697,Process Creation,2010/09/21 12:00:17.000
Case 21154,Process Creation,2010/09/21 12:00:30.000
Case 9233,Process Creation,2010/09/21 12:00:43.000
Case 6314,EngSupplierDesign Lead,2010/09/21 15:00:07.000
Case 497,Process Creation,2010/09/21 15:00:32.000
Case 12187,Process Creation,2010/09/21 15:00:37.000
Case 12187,EngSupplierDesign Lead,2010/09/21 15:00:47.000
Case 497,EngSupplierDesign Lead,2010/09/21 15:00:48.000
Case 4395,EngSupplierDesign Lead,2010/09/21 15:00:50.000
Case 9233,EngSupplierDesign Lead,2010/09/21 15:00:50.000
Case 21154,EngSupplierDesign Lead,2010/09/21 15:00:50.000
Case 13112,EngSupplierDesign Lead,2010/09/21 15:00:51.000
Case 13112,WP Lead,2010/09/22 10:00:43.000
Case 4395,WP Lead,2010/09/22 10:00:44.000
Case 9233,WP Lead,2010/09/22 10:00:45.000
Case 21154,WP Lead,2010/09/22 10:00:45.000
Case 497,WP Lead,2010/09/22 10:00:48.000
Case 6314,WP Lead,2010/09/22 10:00:48.000
Case 12187,WP Lead,2010/09/22 10:00:48.000
Case 13113,Process Creation,2010/09/22 16:00:04.000
Case 13113,EngSupplierDesign Lead,2010/09/22 16:00:06.000
Case 498,Process Creation,2010/09/22 16:00:14.000
Case 498,EngSupplierDesign Lead,2010/09/22 16:00:16.000
Case 12188,Process Creation,2010/09/22 16:00:19.000
Case 6315,Process Creation,2010/09/22 16:00:26.000
Case 6315,EngSupplierDesign Lead,2010/09/22 16:00:29.000
Case 4396,Process Creation,2010/09/22 16:00:34.000
Case 12188,EngSupplierDesign Lead,2010/09/22 16:00:35.000
Case 4396,EngSupplierDesign Lead,2010/09/22 16:00:36.000
Case 21155,Process Creation,2010/09/22 16:00:38.000
Case 21155,EngSupplierDesign Lead,2010/09/22 16:00:39.000
Case 9234,Process Creation,2010/09/22 16:00:42.000
