case,activity,timestamp,completeTime
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000
0,B,2019/01/10 08:26:39.701,2019/01/10 08:26:39.701
1,D,2019/01/10 08:51:01.420,2019/01/10 08:51:01.420
0,C,2019/01/10 08:55:19.201,2019/01/10 08:55:19.201
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000
1,F,2019/01/10 09:20:42.074,2019/01/10 09:20:42.074
0,A,2019/01/10 09:27:21.131,2019/01/10 09:27:21.131
3,D,2019/01/10 09:30:50.403,2019/01/10 09:30:50.403
4,D,2019/01/10 09:48:08.388,2019/01/10 09:48:08.388
0,B,2019/01/10 09:54:37.083,2019/01/10 09:54:37.083
1,E,2019/01/10 09:56:35.747,2019/01/10 09:56:35.747
3,F,2019/01/10 09:59:40.555,2019/01/10 09:59:40.555
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000
4,F,2019/01/10 10:20:10.369,2019/01/10 10:20:10.369
0,C,2019/01/10 10:25:50.095,2019/01/10 10:25:50.095
3,E,2019/01/10 10:29:51.705,2019/01/10 10:29:51.705
6,B,2019/01/10 10:32:28.525,2019/01/10 10:32:28.525
1,G,2019/01/10 10:32:31.665,2019/01/10 10:32:31.665
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000
7,B,2019/01/10 10:46:16.865,2019/01/10 10:46:16.865
0,A,2019/01/10 10:53:21.340,2019/01/10 10:53:21.340
3,G,2019/01/10 10:57:51.425,2019/01/10 10:57:51.425
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000
6,C,2019/01/10 11:02:00.020,2019/01/10 11:02:00.020
1,I,2019/01/10 11:03:22.174,2019/01/10 11:03:22.174
8,D,2019/01/10 11:08:13.996,2019/01/10 11:08:13.996
0,B,2019/01/10 11:19:58.075,2019/01/10 11:19:58.075
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000
2,I,2019/01/10 11:20:08.699,2019/01/10 11:20:08.699
7,C,2019/01/10 11:21:36.749,2019/01/10 11:21:36.749
3,H,2019/01/10 11:25:54.113,2019/01/10 11:25:54.113
9,D,2019/01/10 11:28:59.496,2019/01/10 11:28:59.496
1,J,2019/01/10 11:32:23.690,2019/01/10 11:32:23.690
6,A,2019/01/10 11:34:47.552,2019/01/10 11:34:47.552
8,F,2019/01/10 11:34:54.001,2019/01/10 11:34:54.001
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000
2,J,2019/01/10 11:46:10.317,2019/01/10 11:46:10.317
0,C,2019/01/10 11:48:03.784,2019/01/10 11:48:03.784
10,B,2019/01/10 11:51:38.826,2019/01/10 11:51:38.826
7,A,2019/01/10 11:56:05.179,2019/01/10 11:56:05.179
1,K,2019/01/10 11:59:06.581,2019/01/10 11:59:06.581
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000
6,D,2019/01/10 12:01:08.128,2019/01/10 12:01:08.128
8,E,2019/01/10 12:03:53.355,2019/01/10 12:03:53.355
9,F,2019/01/10 12:05:21.142,2019/01/10 12:05:21.142
11,B,2019/01/10 12:08:41.975,2019/01/10 12:08:41.975
0,A,2019/01/10 12:15:26.765,2019/01/10 12:15:26.765
2,K,2019/01/10 12:16:54.312,2019/01/10 12:16:54.312
10,C,2019/01/10 12:19:56.601,2019/01/10 12:19:56.601
1,M,2019/01/10 12:30:03.979,2019/01/10 12:30:03.979
9,E,2019/01/10 12:34:41.125,2019/01/10 12:34:41.125
12,D,2019/01/10 12:34:49.772,2019/01/10 12:34:49.772
6,F,2019/01/10 12:35:59.102,2019/01/10 12:35:59.102
8,G,2019/01/10 12:39:48.745,2019/01/10 12:39:48.745
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000
11,C,2019/01/10 12:41:34.453,2019/01/10 12:41:34.453
2,M,2019/01/10 12:45:56.703,2019/01/10 12:45:56.703
5,E,2019/01/10 12:45:59.673,2019/01/10 12:45:59.673
0,D,2019/01/10 12:47:17.317,2019/01/10 12:47:17.317
10,A,2019/01/10 12:51:14.839,2019/01/10 12:51:14.839
1,O,2019/01/10 12:56:01.784,2019/01/10 12:56:01.784
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000
6,E,2019/01/10 13:01:59.572,2019/01/10 13:01:59.572
9,G,2019/01/10 13:04:11.446,2019/01/10 13:04:11.446
14,B,2019/01/10 13:05:56.738,2019/01/10 13:05:56.738
12,F,2019/01/10 13:06:41.960,2019/01/10 13:06:41.960
11,A,2019/01/10 13:09:19.322,2019/01/10 13:09:19.322
8,I,2019/01/10 13:09:36.203,2019/01/10 13:09:36.203
2,N,2019/01/10 13:14:03.492,2019/01/10 13:14:03.492
5,G,2019/01/10 13:14:27.506,2019/01/10 13:14:27.506
10,B,2019/01/10 13:19:53.319,2019/01/10 13:19:53.319
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000
0,F,2019/01/10 13:22:20.894,2019/01/10 13:22:20.894
15,D,2019/01/10 13:32:25.987,2019/01/10 13:32:25.987
6,G,2019/01/10 13:34:45.099,2019/01/10 13:34:45.099
14,C,2019/01/10 13:35:46.719,2019/01/10 13:35:46.719
9,H,2019/01/10 13:38:00.974,2019/01/10 13:38:00.974
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000
11,B,2019/01/10 13:40:17.085,2019/01/10 13:40:17.085
8,J,2019/01/10 13:42:37.276,2019/01/10 13:42:37.276
13,E,2019/01/10 13:43:54.117,2019/01/10 13:43:54.117
5,I,2019/01/10 13:45:09.174,2019/01/10 13:45:09.174
0,E,2019/01/10 13:50:24.085,2019/01/10 13:50:24.085
10,C,2019/01/10 13:51:27.825,2019/01/10 13:51:27.825
16,D,2019/01/10 13:52:22.690,2019/01/10 13:52:22.690
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000
15,F,2019/01/10 14:01:08.801,2019/01/10 14:01:08.801
6,I,2019/01/10 14:02:07.145,2019/01/10 14:02:07.145
14,A,2019/01/10 14:07:03.629,2019/01/10 14:07:03.629
8,K,2019/01/10 14:09:14.173,2019/01/10 14:09:14.173
17,B,2019/01/10 14:10:58.133,2019/01/10 14:10:58.133
11,C,2019/01/10 14:12:11.783,2019/01/10 14:12:11.783
13,G,2019/01/10 14:13:28.914,2019/01/10 14:13:28.914
5,J,2019/01/10 14:14:28.089,2019/01/10 14:14:28.089
10,A,2019/01/10 14:17:56.527,2019/01/10 14:17:56.527
0,G,2019/01/10 14:19:33.269,2019/01/10 14:19:33.269
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000
16,F,2019/01/10 14:21:45.234,2019/01/10 14:21:45.234
18,B,2019/01/10 14:27:31.108,2019/01/10 14:27:31.108
6,J,2019/01/10 14:30:12.603,2019/01/10 14:30:12.603
15,E,2019/01/10 14:32:02.888,2019/01/10 14:32:02.888
14,D,2019/01/10 14:39:49.207,2019/01/10 14:39:49.207
8,M,2019/01/10 14:39:54.781,2019/01/10 14:39:54.781
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000
17,C,2019/01/10 14:41:10.514,2019/01/10 14:41:10.514
11,A,2019/01/10 14:41:12.907,2019/01/10 14:41:12.907
5,L,2019/01/10 14:43:11.090,2019/01/10 14:43:11.090
13,H,2019/01/10 14:43:42.910,2019/01/10 14:43:42.910
10,B,2019/01/10 14:49:44.029,2019/01/10 14:49:44.029
19,D,2019/01/10 14:50:03.680,2019/01/10 14:50:03.680
0,I,2019/01/10 14:51:28.227,2019/01/10 14:51:28.227
16,E,2019/01/10 14:57:52.614,2019/01/10 14:57:52.614
18,C,2019/01/10 14:58:29.552,2019/01/10 14:58:29.552
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000
6,L,2019/01/10 15:00:57.679,2019/01/10 15:00:57.679
15,G,2019/01/10 15:03:16.161,2019/01/10 15:03:16.161
17,A,2019/01/10 15:06:26.389,2019/01/10 15:06:26.389
20,B,2019/01/10 15:08:46.112,2019/01/10 15:08:46.112
14,F,2019/01/10 15:09:15.124,2019/01/10 15:09:15.124
11,B,2019/01/10 15:09:52.280,2019/01/10 15:09:52.280
8,O,2019/01/10 15:10:20.049,2019/01/10 15:10:20.049
5,M,2019/01/10 15:16:55.824,2019/01/10 15:16:55.824
10,C,2019/01/10 15:17:24.223,2019/01/10 15:17:24.223
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000
0,J,2019/01/10 15:20:28.784,2019/01/10 15:20:28.784
19,F,2019/01/10 15:21:56.154,2019/01/10 15:21:56.154
16,G,2019/01/10 15:25:14.039,2019/01/10 15:25:14.039
18,A,2019/01/10 15:29:40.534,2019/01/10 15:29:40.534
21,B,2019/01/10 15:29:57.149,2019/01/10 15:29:57.149
17,D,2019/01/10 15:31:35.577,2019/01/10 15:31:35.577
15,H,2019/01/10 15:32:01.649,2019/01/10 15:32:01.649
6,M,2019/01/10 15:33:00.444,2019/01/10 15:33:00.444
14,E,2019/01/10 15:33:59.065,2019/01/10 15:33:59.065
20,C,2019/01/10 15:34:02.050,2019/01/10 15:34:02.050
11,C,2019/01/10 15:39:25.730,2019/01/10 15:39:25.730
5,O,2019/01/10 15:44:22.923,2019/01/10 15:44:22.923
0,L,2019/01/10 15:47:47.331,2019/01/10 15:47:47.331
10,A,2019/01/10 15:48:08.908,2019/01/10 15:48:08.908
22,B,2019/01/10 15:50:45.835,2019/01/10 15:50:45.835
19,E,2019/01/10 15:50:50.323,2019/01/10 15:50:50.323
21,C,2019/01/10 15:56:42.229,2019/01/10 15:56:42.229
20,A,2019/01/10 15:57:02.408,2019/01/10 15:57:02.408
18,D,2019/01/10 15:57:12.038,2019/01/10 15:57:12.038
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000
16,I,2019/01/10 16:00:37.897,2019/01/10 16:00:37.897
14,G,2019/01/10 16:01:46.710,2019/01/10 16:01:46.710
17,F,2019/01/10 16:04:01.219,2019/01/10 16:04:01.219
6,O,2019/01/10 16:04:46.028,2019/01/10 16:04:46.028
0,M,2019/01/10 16:11:18.538,2019/01/10 16:11:18.538
10,B,2019/01/10 16:12:52.725,2019/01/10 16:12:52.725
11,A,2019/01/10 16:17:09.594,2019/01/10 16:17:09.594
19,G,2019/01/10 16:19:51.404,2019/01/10 16:19:51.404
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000
22,C,2019/01/10 16:22:44.196,2019/01/10 16:22:44.196
20,B,2019/01/10 16:24:28.286,2019/01/10 16:24:28.286
21,A,2019/01/10 16:26:36.852,2019/01/10 16:26:36.852
24,B,2019/01/10 16:28:53.357,2019/01/10 16:28:53.357
16,J,2019/01/10 16:31:51.759,2019/01/10 16:31:51.759
18,F,2019/01/10 16:32:58.504,2019/01/10 16:32:58.504
14,I,2019/01/10 16:33:41.693,2019/01/10 16:33:41.693
17,E,2019/01/10 16:38:03.779,2019/01/10 16:38:03.779
0,O,2019/01/10 16:38:56.047,2019/01/10 16:38:56.047
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000
10,C,2019/01/10 16:41:50.868,2019/01/10 16:41:50.868
25,B,2019/01/10 16:42:53.356,2019/01/10 16:42:53.356
11,D,2019/01/10 16:43:11.834,2019/01/10 16:43:11.834
19,I,2019/01/10 16:47:49.643,2019/01/10 16:47:49.643
22,A,2019/01/10 16:52:03.811,2019/01/10 16:52:03.811
20,C,2019/01/10 16:52:39.206,2019/01/10 16:52:39.206
24,C,2019/01/10 16:58:45.427,2019/01/10 16:58:45.427
16,K,2019/01/10 16:59:21.165,2019/01/10 16:59:21.165
27,A,2019/01/10 17:00:00.000,2019/01/10 17:00:00.000
21,D,2019/01/10 17:01:34.148,2019/01/10 17:01:34.148
14,J,2019/01/10 17:04:22.970,2019/01/10 17:04:22.970
17,G,2019/01/10 17:06:00.586,2019/01/10 17:06:00.586
18,E,2019/01/10 17:08:11.850,2019/01/10 17:08:11.850
10,A,2019/01/10 17:09:03.664,2019/01/10 17:09:03.664
26,B,2019/01/10 17:11:45.784,2019/01/10 17:11:45.784
19,J,2019/01/10 17:12:32.627,2019/01/10 17:12:32.627
11,F,2019/01/10 17:13:46.791,2019/01/10 17:13:46.791
25,C,2019/01/10 17:15:54.197,2019/01/10 17:15:54.197
28,A,2019/01/10 17:20:00.000,2019/01/10 17:20:00.000
22,D,2019/01/10 17:22:47.445,2019/01/10 17:22:47.445
20,A,2019/01/10 17:23:41.025,2019/01/10 17:23:41.025
21,F,2019/01/10 17:26:46.019,2019/01/10 17:26:46.019
27,B,2019/01/10 17:30:23.222,2019/01/10 17:30:23.222
24,A,2019/01/10 17:31:26.554,2019/01/10 17:31:26.554
16,M,2019/01/10 17:31:34.429,2019/01/10 17:31:34.429
18,G,2019/01/10 17:37:55.744,2019/01/10 17:37:55.744
17,H,2019/01/10 17:38:31.287,2019/01/10 17:38:31.287
10,D,2019/01/10 17:39:29.482,2019/01/10 17:39:29.482
14,K,2019/01/10 17:39:59.327,2019/01/10 17:39:59.327
29,A,2019/01/10 17:40:00.000,2019/01/10 17:40:00.000
11,E,2019/01/10 17:40:10.599,2019/01/10 17:40:10.599
19,K,2019/01/10 17:42:55.364,2019/01/10 17:42:55.364
26,C,2019/01/10 17:44:35.940,2019/01/10 17:44:35.940
20,B,2019/01/10 17:48:11.320,2019/01/10 17:48:11.320
25,A,2019/01/10 17:49:40.496,2019/01/10 17:49:40.496
28,D,2019/01/10 17:50:12.193,2019/01/10 17:50:12.193
21,E,2019/01/10 17:54:03.249,2019/01/10 17:54:03.249
22,F,2019/01/10 17:55:12.892,2019/01/10 17:55:12.892
