case,activity,timestamp,completeTime,first,second,country
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000,122,137,Macau SAR China
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000,180,229,Lithuania
0,B,2019/01/10 08:26:39.701,2019/01/10 08:26:39.701,131,226,Congo - Brazzaville
1,D,2019/01/10 08:51:01.420,2019/01/10 08:51:01.420,56,121,Liberia
0,C,2019/01/10 08:55:19.201,2019/01/10 08:55:19.201,1,186,Mayotte
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000,18,114,Taiwan
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000,109,187,Cameroon
1,F,2019/01/10 09:20:42.074,2019/01/10 09:20:42.074,253,103,French Southern Territories
0,A,2019/01/10 09:27:21.131,2019/01/10 09:27:21.131,77,170,Singapore
3,D,2019/01/10 09:30:50.403,2019/01/10 09:30:50.403,30,166,British Indian Ocean Territory
4,D,2019/01/10 09:48:08.388,2019/01/10 09:48:08.388,6,58,India
0,B,2019/01/10 09:54:37.083,2019/01/10 09:54:37.083,80,34,Australia
1,E,2019/01/10 09:56:35.747,2019/01/10 09:56:35.747,82,72,Bermuda
3,F,2019/01/10 09:59:40.555,2019/01/10 09:59:40.555,240,197,Gibraltar
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000,96,38,Switzerland
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000,217,61,Venezuela
4,F,2019/01/10 10:20:10.369,2019/01/10 10:20:10.369,34,206,Svalbard & Jan Mayen
0,C,2019/01/10 10:25:50.095,2019/01/10 10:25:50.095,166,72,United States
3,E,2019/01/10 10:29:51.705,2019/01/10 10:29:51.705,107,42,Northern Mariana Islands
6,B,2019/01/10 10:32:28.525,2019/01/10 10:32:28.525,57,119,Montenegro
1,G,2019/01/10 10:32:31.665,2019/01/10 10:32:31.665,55,226,Croatia
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000,28,73,Syria
7,B,2019/01/10 10:46:16.865,2019/01/10 10:46:16.865,104,102,Slovenia
0,A,2019/01/10 10:53:21.340,2019/01/10 10:53:21.340,40,41,Guinea-Bissau
3,G,2019/01/10 10:57:51.425,2019/01/10 10:57:51.425,229,249,Isle of Man
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000,152,76,Cyprus
6,C,2019/01/10 11:02:00.020,2019/01/10 11:02:00.020,222,204,Burundi
1,I,2019/01/10 11:03:22.174,2019/01/10 11:03:22.174,74,52,Guinea-Bissau
8,D,2019/01/10 11:08:13.996,2019/01/10 11:08:13.996,96,163,Belarus
0,B,2019/01/10 11:19:58.075,2019/01/10 11:19:58.075,57,205,Zambia
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000,152,235,Peru
2,I,2019/01/10 11:20:08.699,2019/01/10 11:20:08.699,9,155,Guyana
7,C,2019/01/10 11:21:36.749,2019/01/10 11:21:36.749,169,127,Djibouti
3,H,2019/01/10 11:25:54.113,2019/01/10 11:25:54.113,156,69,Mauritius
9,D,2019/01/10 11:28:59.496,2019/01/10 11:28:59.496,168,104,Dominica
1,J,2019/01/10 11:32:23.690,2019/01/10 11:32:23.690,168,96,Nigeria
6,A,2019/01/10 11:34:47.552,2019/01/10 11:34:47.552,75,191,Zimbabwe
8,F,2019/01/10 11:34:54.001,2019/01/10 11:34:54.001,106,94,Botswana
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000,47,17,Falkland Islands
2,J,2019/01/10 11:46:10.317,2019/01/10 11:46:10.317,7,18,Bhutan
0,C,2019/01/10 11:48:03.784,2019/01/10 11:48:03.784,88,204,Germany
10,B,2019/01/10 11:51:38.826,2019/01/10 11:51:38.826,247,93,Montserrat
7,A,2019/01/10 11:56:05.179,2019/01/10 11:56:05.179,63,251,Spain
1,K,2019/01/10 11:59:06.581,2019/01/10 11:59:06.581,0,242,India
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000,159,218,Bermuda
6,D,2019/01/10 12:01:08.128,2019/01/10 12:01:08.128,215,225,Indonesia
8,E,2019/01/10 12:03:53.355,2019/01/10 12:03:53.355,137,228,Romania
9,F,2019/01/10 12:05:21.142,2019/01/10 12:05:21.142,255,17,Tokelau
11,B,2019/01/10 12:08:41.975,2019/01/10 12:08:41.975,252,80,Comoros
0,A,2019/01/10 12:15:26.765,2019/01/10 12:15:26.765,20,19,Bulgaria
2,K,2019/01/10 12:16:54.312,2019/01/10 12:16:54.312,45,95,Singapore
10,C,2019/01/10 12:19:56.601,2019/01/10 12:19:56.601,81,105,French Polynesia
1,M,2019/01/10 12:30:03.979,2019/01/10 12:30:03.979,190,74,Wallis & Futuna
9,E,2019/01/10 12:34:41.125,2019/01/10 12:34:41.125,221,232,Trinidad & Tobago
12,D,2019/01/10 12:34:49.772,2019/01/10 12:34:49.772,253,70,Swaziland
6,F,2019/01/10 12:35:59.102,2019/01/10 12:35:59.102,218,191,Croatia
8,G,2019/01/10 12:39:48.745,2019/01/10 12:39:48.745,230,3,Tanzania
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000,235,115,Saudi Arabia
11,C,2019/01/10 12:41:34.453,2019/01/10 12:41:34.453,25,219,Aruba
2,M,2019/01/10 12:45:56.703,2019/01/10 12:45:56.703,157,237,Poland
5,E,2019/01/10 12:45:59.673,2019/01/10 12:45:59.673,93,54,Wallis & Futuna
0,D,2019/01/10 12:47:17.317,2019/01/10 12:47:17.317,226,238,British Indian Ocean Territory
10,A,2019/01/10 12:51:14.839,2019/01/10 12:51:14.839,164,70,Bolivia
