case,activity,timestamp
0,A,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000
0,D,2019/01/10 08:32:40.931
2,A,2019/01/10 08:40:00.000
1,D,2019/01/10 08:49:50.285
3,A,2019/01/10 09:00:00.000
0,F,2019/01/10 09:02:11.818
2,D,2019/01/10 09:09:47.730
4,A,2019/01/10 09:20:00.000
1,F,2019/01/10 09:23:37.778
3,D,2019/01/10 09:26:37.149
0,E,2019/01/10 09:32:21.370
2,F,2019/01/10 09:37:53.732
5,A,2019/01/10 09:40:00.000
4,D,2019/01/10 09:51:11.377
1,E,2019/01/10 09:52:43.776
3,F,2019/01/10 09:59:26.161
6,A,2019/01/10 10:00:00.000
0,G,2019/01/10 10:01:40.054
2,E,2019/01/10 10:07:50.189
5,B,2019/01/10 10:13:14.833
7,A,2019/01/10 10:20:00.000
4,F,2019/01/10 10:23:31.294
1,G,2019/01/10 10:23:42.946
3,E,2019/01/10 10:25:38.689
6,B,2019/01/10 10:28:57.204
0,H,2019/01/10 10:36:36.265
8,A,2019/01/10 10:40:00.000
2,G,2019/01/10 10:43:46.866
5,C,2019/01/10 10:45:35.371
4,E,2019/01/10 10:48:43.093
7,B,2019/01/10 10:49:33.667
1,I,2019/01/10 10:53:25.618
6,C,2019/01/10 10:55:28.671
3,G,2019/01/10 10:57:43.257
9,A,2019/01/10 11:00:00.000
8,B,2019/01/10 11:08:09.061
2,I,2019/01/10 11:12:21.442
5,A,2019/01/10 11:15:00.655
4,G,2019/01/10 11:16:38.006
10,A,2019/01/10 11:20:00.000
7,C,2019/01/10 11:20:23.142
1,J,2019/01/10 11:22:12.991
6,A,2019/01/10 11:24:19.727
3,H,2019/01/10 11:25:23.945
9,D,2019/01/10 11:31:24.318
8,C,2019/01/10 11:37:19.568
11,A,2019/01/10 11:40:00.000
4,I,2019/01/10 11:40:58.463
2,J,2019/01/10 11:42:14.542
5,B,2019/01/10 11:43:35.559
10,D,2019/01/10 11:48:52.552
7,A,2019/01/10 11:50:00.161
1,K,2019/01/10 11:52:58.847
6,D,2019/01/10 11:54:47.595
12,A,2019/01/10 12:00:00.000
8,A,2019/01/10 12:05:09.801
9,F,2019/01/10 12:05:56.683
4,J,2019/01/10 12:12:10.520
11,D,2019/01/10 12:13:21.029
2,K,2019/01/10 12:13:36.380
10,F,2019/01/10 12:15:26.190
5,C,2019/01/10 12:15:32.486
7,D,2019/01/10 12:19:23.260
1,M,2019/01/10 12:23:34.491
6,F,2019/01/10 12:23:41.257
12,B,2019/01/10 12:28:22.328
9,E,2019/01/10 12:36:09.783
8,D,2019/01/10 12:36:33.476
4,L,2019/01/10 12:37:27.925
14,A,2019/01/10 12:40:00.000
2,M,2019/01/10 12:43:54.634
5,A,2019/01/10 12:45:10.803
11,F,2019/01/10 12:47:27.626
10,E,2019/01/10 12:49:29.990
6,E,2019/01/10 12:50:33.999
1,N,2019/01/10 12:52:12.931
7,F,2019/01/10 12:54:05.790
12,C,2019/01/10 12:56:11.510
15,A,2019/01/10 13:00:00.000
9,G,2019/01/10 13:05:15.897
4,M,2019/01/10 13:05:37.356
14,B,2019/01/10 13:11:19.604
5,B,2019/01/10 13:11:41.481
8,F,2019/01/10 13:12:30.580
6,G,2019/01/10 13:17:31.079
11,E,2019/01/10 13:17:56.322
2,N,2019/01/10 13:18:51.638
16,A,2019/01/10 13:20:00.000
10,G,2019/01/10 13:20:30.950
12,A,2019/01/10 13:26:09.691
7,E,2019/01/10 13:26:50.981
15,D,2019/01/10 13:33:50.979
9,I,2019/01/10 13:34:05.456
14,C,2019/01/10 13:39:57.165
17,A,2019/01/10 13:40:00.000
4,O,2019/01/10 13:41:07.804
6,I,2019/01/10 13:42:32.596
