case,activity,timestamp
0,A,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000
0,B,2019/01/10 08:24:55.849
2,A,2019/01/10 08:40:00.000
1,D,2019/01/10 08:50:46.177
0,C,2019/01/10 08:53:33.645
3,A,2019/01/10 09:00:00.000
2,B,2019/01/10 09:06:34.105
1,F,2019/01/10 09:17:08.777
4,A,2019/01/10 09:20:00.000
0,A,2019/01/10 09:21:30.784
3,D,2019/01/10 09:27:59.499
2,C,2019/01/10 09:32:04.279
5,A,2019/01/10 09:40:00.000
1,E,2019/01/10 09:47:35.232
0,D,2019/01/10 09:49:41.102
4,D,2019/01/10 09:50:53.983
3,F,2019/01/10 09:59:08.311
2,A,2019/01/10 10:02:15.447
5,B,2019/01/10 10:09:54.976
0,F,2019/01/10 10:16:36.820
4,F,2019/01/10 10:19:39.570
7,A,2019/01/10 10:20:00.000
1,G,2019/01/10 10:20:10.448
3,E,2019/01/10 10:26:49.310
5,C,2019/01/10 10:36:27.864
2,B,2019/01/10 10:36:31.098
8,A,2019/01/10 10:40:00.000
7,D,2019/01/10 10:48:18.899
0,E,2019/01/10 10:51:18.319
1,H,2019/01/10 10:52:12.184
4,E,2019/01/10 10:52:30.162
3,G,2019/01/10 10:55:12.184
9,A,2019/01/10 11:00:00.000
2,C,2019/01/10 11:05:20.940
5,A,2019/01/10 11:05:36.178
8,B,2019/01/10 11:10:42.802
0,G,2019/01/10 11:19:07.530
7,F,2019/01/10 11:19:36.968
10,A,2019/01/10 11:20:00.000
4,G,2019/01/10 11:20:05.461
3,H,2019/01/10 11:25:38.596
5,D,2019/01/10 11:28:36.391
9,B,2019/01/10 11:34:23.506
8,C,2019/01/10 11:37:46.185
2,A,2019/01/10 11:37:52.138
11,A,2019/01/10 11:40:00.000
7,E,2019/01/10 11:46:33.239
4,I,2019/01/10 11:49:35.382
0,I,2019/01/10 11:49:58.413
10,D,2019/01/10 11:52:59.169
5,F,2019/01/10 11:57:44.709
12,A,2019/01/10 12:00:00.000
9,C,2019/01/10 12:04:11.269
2,D,2019/01/10 12:06:07.066
8,A,2019/01/10 12:09:03.257
11,D,2019/01/10 12:14:53.879
10,F,2019/01/10 12:19:32.710
13,A,2019/01/10 12:20:00.000
7,G,2019/01/10 12:20:52.751
0,J,2019/01/10 12:23:31.540
4,J,2019/01/10 12:26:20.167
5,E,2019/01/10 12:27:34.834
12,B,2019/01/10 12:30:57.641
2,F,2019/01/10 12:31:21.244
8,D,2019/01/10 12:34:32.331
9,A,2019/01/10 12:37:24.421
14,A,2019/01/10 12:40:00.000
10,E,2019/01/10 12:42:31.572
11,F,2019/01/10 12:43:40.803
7,H,2019/01/10 12:53:07.222
13,D,2019/01/10 12:53:10.691
0,L,2019/01/10 12:53:40.350
4,K,2019/01/10 12:54:24.713
12,C,2019/01/10 12:57:41.707
15,A,2019/01/10 13:00:00.000
5,G,2019/01/10 13:02:00.065
9,D,2019/01/10 13:03:15.022
2,E,2019/01/10 13:06:13.370
8,F,2019/01/10 13:06:37.313
6,E,2019/01/10 13:07:20.813
14,D,2019/01/10 13:11:15.120
11,E,2019/01/10 13:16:47.064
10,G,2019/01/10 13:16:58.422
4,M,2019/01/10 13:22:03.799
12,A,2019/01/10 13:23:21.165
15,D,2019/01/10 13:23:44.975
13,F,2019/01/10 13:23:59.529
0,M,2019/01/10 13:25:14.534
2,G,2019/01/10 13:32:59.051
5,I,2019/01/10 13:33:05.115
9,F,2019/01/10 13:35:14.816
6,G,2019/01/10 13:36:05.487
8,E,2019/01/10 13:38:09.994
17,A,2019/01/10 13:40:00.000
14,F,2019/01/10 13:43:40.481
10,H,2019/01/10 13:44:56.967
11,G,2019/01/10 13:47:39.433
